,cik,exchange,industryTitle,irs,name,sic,ticker
0,851968,NYSE,CARPETS & RUGS,521604305.0,Mohawk Industries Inc,2273.0,MHK
1,917520,NASDAQ,LABORATORY ANALYTICAL INSTRUMENTS,510317849.0,Integra Lifesciences Holdings Corp,3826.0,IART
2,917523,,DRAWING & INSULATING OF NONFERROUS WIRE,593046866.0,Revolution Lighting Technologies Inc,3357.0,NEXS
3,819220,NASDAQ,COMMERCIAL PRINTING,311125853.0,Multi Color Corp,2750.0,LABL
4,1212458,NASDAQ,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,510414846.0,Proofpoint Inc,7374.0,PFPT
5,98338,NASDAQ,SERVICES-COMPUTER PROGRAMMING SERVICES,132635899.0,TSR Inc,7371.0,TSRI
6,1540145,OTC,PHARMACEUTICAL PREPARATIONS,,Xstelos Holdings Inc,2834.0,XTLS
7,1441849,NYSE,BITUMINOUS COAL & LIGNITE SURFACE MINING,263088162.0,Cloud Peak Energy Inc,1221.0,CLD
8,98362,NYSE,BALL & ROLLER BEARINGS,340577130.0,Timken Co,3562.0,TKR
9,1507385,NASDAQ,REAL ESTATE INVESTMENT TRUSTS,,American Realty Capital Properties Inc,6798.0,ARCP
10,65596,NASDAQ,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",111796714.0,Siebert Financial Corp,6211.0,SIEB
11,1376321,NASDAQ,SERVICES-ADVERTISING AGENCIES,204672080.0,Chinanet Online Holdings Inc,7311.0,CNET
12,1572910,NYSE,PIPE LINES (NO NATURAL GAS),383899432.0,Phillips 66 Partners LP,4610.0,PSXP
13,1048620,OTC,RETAIL-EATING  PLACES,411883639.0,Granite City Food & Brewery LTD,5812.0,GCFB
14,1376339,NASDAQ,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,900300868.0,Mimedx Group Inc,3841.0,MDXG
15,1278021,NASDAQ,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",522230784.0,Marketaxess Holdings Inc,6211.0,MKTX
16,1179755,NYSE,"FIRE, MARINE & CASUALTY INSURANCE",980392908.0,Endurance Specialty Holdings LTD,6331.0,ENH
17,1277998,OTC,CRUDE PETROLEUM & NATURAL GAS,510482104.0,Stratum Holdings Inc,1311.0,STTH
18,753772,OTCBB,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",870412648.0,Medizone International Inc,5122.0,MZEI
19,1048685,NYSE MKT,SECONDARY SMELTING & REFINING OF NONFERROUS METALS,,Metalico Inc,3341.0,MEA
20,1114200,,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",134018241.0,American Medical Systems Holdings Inc,3842.0,AMMD
21,1343601,,METAL MINING,208766823.0,West Canyon Energy Corp,1000.0,WCYO
22,1048695,NASDAQ,COMPUTER COMMUNICATIONS EQUIPMENT,911714307.0,F5 Networks Inc,3576.0,FFIV
23,1212545,NYSE,STATE COMMERCIAL BANKS,,Western Alliance Bancorporation,6022.0,WAL
24,1409171,NASDAQ,"RETAIL-RETAIL STORES, NEC",450357838.0,Titan Machinery Inc,5990.0,TITN
25,1278027,NYSE,FOOD AND KINDRED PRODUCTS,133918742.0,B&G Foods Inc,2000.0,BGF
26,884905,NYSE,INDUSTRIAL INORGANIC CHEMICALS,61249050.0,Praxair Inc,2810.0,PX
27,1409197,,BLANK CHECKS,204743354.0,Dimi Telematics International Inc,6770.0,FQVE
28,1474735,NYSE,MOTORS & GENERATORS,205654756.0,Generac Holdings Inc,3621.0,GNRC
29,1310893,OTC,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),201699814.0,Bluesky Systems Corp,6531.0,BSKS
30,32878,,SEMICONDUCTORS & RELATED DEVICES,381749884.0,Energy Conversion Devices Inc,3674.0,ENER
31,786620,OTC,SERVICES-PREPACKAGED SOFTWARE,870439107.0,Cimetrix Inc,7372.0,CMXX
32,884940,NASDAQ,RETAIL-FAMILY CLOTHING STORES,640466198.0,Stein Mart Inc,5651.0,SMRT
33,65759,OTC,SEMICONDUCTORS & RELATED DEVICES,751225149.0,Micropac Industries Inc,3674.0,MPAD
34,1081568,,SHORT-TERM BUSINESS CREDIT INSTITUTIONS,,First Asia Holdings LTD,6153.0,MLOBF
35,1409253,OTC,SERVICES-MANAGEMENT CONSULTING SERVICES,,New Found Shrimp Inc,8742.0,NFDS
36,1343719,NASDAQ,OIL & GAS FIELD EXPLORATION SERVICES,,Energy XXI Bermuda LTD,1382.0,EXXI
37,1114220,NASDAQ,PHARMACEUTICAL PREPARATIONS,134087132.0,Keryx Biopharmaceuticals Inc,2834.0,KERX
38,65770,NASDAQ,"ELECTRONIC COMPONENTS, NEC",911600822.0,Microvision Inc,3679.0,MVIS
